央视频道,#genre#
云南卫视,http://39.130.208.132:6410/gitv_live/G_YUNNAN-HD/G_YUNNAN-HD.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225664/index.m3u8
新疆卫视,http://livehyw5.chinamcache.com/hyw/zb01.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225725/index.m3u8
吉林卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225680/index.m3u8
内蒙古卫视,http://live.m2oplus.nmtv.cn/1/sd/live.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225667/index.m3u8












